"YIL","AY","SEHİR","ODA SAYISI","M2","ORT.FİYAT"
"2019","OCAK","İSTANBUL","1+1","100","1555 TL"
"2019","MART","İSTANBUL","1+1","100","1627 TL"
"2019","MAYIS","İSTANBUL","1+1","100","1541 TL"
"2019","TEMMUZ","İSTANBUL","1+1","100","1503 TL"
"2019","EYLÜL","İSTANBUL","1+1","100","1558 TL"
"2019","KASIM","İSTANBUL","1+1","100","1671 TL"
"2019","OCAK","İSTANBUL","2+1","100","1806 TL"
"2019","MART","İSTANBUL","2+1","100","1805 TL"
"2019","MAYIS","İSTANBUL","2+1","100","1625 TL"
"2019","TEMMUZ","İSTANBUL","2+1","100","1644 TL"
"2019","EYLÜL","İSTANBUL","2+1","100","1659 TL"
"2019","KASIM","İSTANBUL","2+1","100","1681 TL"
"2019","OCAK","İSTANBUL","3+1","100","2626 TL"
"2019","MART","İSTANBUL","3+1","100","2601 TL"
"2019","MAYIS","İSTANBUL","3+1","100","2429 TL"
"2019","TEMMUZ","İSTANBUL","3+1","100","2356 TL"
"2019","EYLÜL","İSTANBUL","3+1","100","2348 TL"
"2019","KASIM","İSTANBUL","3+1","100","2425 TL"
"2020","OCAK","İSTANBUL","1+1","100","1701 TL"
"2020","MART","İSTANBUL","1+1","100","1781 TL"
"2020","MAYIS","İSTANBUL","1+1","100","1756 TL"
"2020","TEMMUZ","İSTANBUL","1+1","100","1844 TL"
"2020","EYLÜL","İSTANBUL","1+1","100","1931 TL"
"2020","KASIM","İSTANBUL","1+1","100","1853 TL"
"2020","OCAK","İSTANBUL","2+1","100","1768 TL"
"2020","MART","İSTANBUL","2+1","100","1828 TL"
"2020","MAYIS","İSTANBUL","2+1","100","1761 TL"
"2020","TEMMUZ","İSTANBUL","2+1","100","1821 TL"
"2020","EYLÜL","İSTANBUL","2+1","100","1961 TL"
"2020","KASIM","İSTANBUL","2+1","100","1934 TL"
"2020","OCAK","İSTANBUL","3+1","100","2614 TL"
"2020","MART","İSTANBUL","3+1","100","2684 TL"
"2020","MAYIS","İSTANBUL","3+1","100","2588 TL"
"2020","TEMMUZ","İSTANBUL","3+1","100","2658 TL"
"2020","EYLÜL","İSTANBUL","3+1","100","2777 TL"
"2020","KASIM","İSTANBUL","3+1","100","2703 TL"
"2021","OCAK","İSTANBUL","1+1","100","1978 TL"
"2021","MART","İSTANBUL","1+1","100","2149 TL"
"2021","MAYIS","İSTANBUL","1+1","100","2335 TL"
"2021","TEMMUZ","İSTANBUL","1+1","100","2615 TL"
"2021","EYLÜL","İSTANBUL","1+1","100","3146 TL"
"2021","KASIM","İSTANBUL","1+1","100","3630 TL"
"2021","OCAK","İSTANBUL","2+1","100","2009 TL"
"2021","MART","İSTANBUL","2+1","100","2191 TL"
"2021","MAYIS","İSTANBUL","2+1","100","2428 TL"
"2021","EYLÜL","İSTANBUL","2+1","100","3295 TL"
"2021","KASIM","İSTANBUL","2+1","100","3513 TL"
"2021","OCAK","İSTANBUL","3+1","100","2926 TL"
"2021","MART","İSTANBUL","3+1","100","3251 TL"
"2021","MAYIS","İSTANBUL","3+1","100","3787 TL"
"2021","EYLÜL","İSTANBUL","3+1","100","4680 TL"
"2021","KASIM","İSTANBUL","3+1","100","4900 TL"
"2022","OCAK","İSTANBUL","1+1","100","4177 TL"
"2022","MART","İSTANBUL","1+1","100","4909 TL"
"2022","MAYIS","İSTANBUL","1+1","100","5856 TL"
"2022","EYLÜL","İSTANBUL","1+1","100","8170 TL"
"2022","KASIM","İSTANBUL","1+1","100","9367 TL"
"2022","OCAK","İSTANBUL","2+1","100","3900 TL"
"2022","MART","İSTANBUL","2+1","100","4748 TL"
"2022","MAYIS","İSTANBUL","2+1","100","5896 TL"
"2022","EYLÜL","İSTANBUL","2+1","100","7676 TL"
"2022","KASIM","İSTANBUL","2+1","100","8086 TL"
"2022","OCAK","İSTANBUL","3+1","100","5684 TL"
"2022","MART","İSTANBUL","3+1","100","7133 TL"
"2022","MAYIS","İSTANBUL","3+1","100","8465 TL"
"2022","EYLÜL","İSTANBUL","3+1","100","10512 TL"
"2022","KASIM","İSTANBUL","3+1","100","11624 TL"
"2023","OCAK","İSTANBUL","1+1","100","10326 TL"
"2023","MART","İSTANBUL","1+1","100","11628 TL"
"2023","OCAK","İSTANBUL","2+1","100","9207 TL"
"2023","MART","İSTANBUL","2+1","100","11124 TL"
"2023","OCAK","İSTANBUL","3+1","100","13075 TL"
"2023","MART","İSTANBUL","3+1","100","15028 TL"
